id,exercicio,variacao,match
711,Abdução,Polia,media\exercicios\GIFS ABDOMINAIS\Abdução de quadril no apoio lateral.gif;media\exercicios\GIFS ACADEMIA\COSTAS\Puxada alta na polia nuca.gif;media\exercicios\GIFS ACADEMIA\COSTAS\Puxada na Polia Alta com Pegada Fechada.gif;media\exercicios\GIFS ACADEMIA\COSTAS\Remada Sentada com Corda na Polia.gif;media\exercicios\GIFS ACADEMIA\GLÚTEOS\Abdução de quadril com cabo.gif
712,Abdução,Elástico,media\exercicios\GIFS ABDOMINAIS\Abdominal tipo jack knife com elástico.gif;media\exercicios\GIFS ABDOMINAIS\Abdução de quadril no apoio lateral.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Extensão de tríceps com elástico na posição horizontal.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Step com elástico.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Stiff com Elástico de Resistência.gif
713,Panturrilha,Em pé,media\exercicios\GIFS ABDOMINAIS\Encolhimento Abdominal em Pé com Cabo.gif;media\exercicios\GIFS ABDOMINAIS\Inclinação Lateral em Pé com Gymstick.gif;media\exercicios\GIFS ABDOMINAIS\Inclinação Lateral em Pé.gif;media\exercicios\GIFS ABDOMINAIS\Rolamento com barra em pé.gif;media\exercicios\GIFS ABDOMINAIS\Torção de Alto para Baixo com Cabo em Pé.gif
717,Agachamento,Livre,media\exercicios\GIFS CALISTENIA\Agachamento Pistol com TRX.gif;media\exercicios\GIFS CALISTENIA\Agachamento Pistola Apoiado.gif;media\exercicios\GIFS CALISTENIA\Agachamento Pistola com Kettlebell.gif;media\exercicios\GIFS CALISTENIA\Agachamento Pistola na Caixa.gif;media\exercicios\GIFS CALISTENIA\Agachamento Sissy ajoelhado com Peso Corporal.gif
719,Agachamento,Frontal,media\exercicios\GIFS ABDOMINAIS\Prancha Frontal com Elevação de Braço e Perna.gif;media\exercicios\GIFS ABDOMINAIS\Prancha Frontal com Elevação de Braço.gif;media\exercicios\GIFS ABDOMINAIS\Prancha Frontal com Peso.gif;media\exercicios\GIFS CALISTENIA\Agachamento Pistol com TRX.gif;media\exercicios\GIFS CALISTENIA\Agachamento Pistola Apoiado.gif
725,Cadeira extensora,Unilateral,media\exercicios\GIFS CROSSFIT\Desenvolvimentos com kettlebell unilateral de joelhos.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Desenvolvimento de ombro unilateral com banda.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Remada unilateral com gymstick.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Rosca de bíceps unilateral com faixa de resistência.gif;media\exercicios\GIFS ACADEMIA\COSTAS\Puxada alta unilateral alta ajoelhada.gif
726,Cadeira extensora,Bilateral,media\exercicios\GIFS ACADEMIA\PERNAS\Cadeira extensora.gif;media\exercicios\GIFS ACADEMIA\TRÍCEPS\Tríceps Francês com Halter Bilateral.gif
730,Stiff,Halteres,media\exercicios\GIFS ABDOMINAIS\Elevação em V com Halteres.gif;media\exercicios\GIFS ABDOMINAIS\Elevação Lateral Alternada com Halteres.gif;media\exercicios\GIFS ABDOMINAIS\Inclinação Lateral com Halteres.gif;media\exercicios\GIFS CALISTENIA\Flexão de Perna com Halteres em Decúbito Dorsal.gif;media\exercicios\GIFS CROSSFIT\Agachamento Pistola com Halteres.gif
731,Stiff,Smith,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Stiff com Elástico de Resistência.gif;media\exercicios\GIFS ACADEMIA\GLÚTEOS\Elevação Pélvica na Máquina Smith.gif;media\exercicios\GIFS ACADEMIA\GLÚTEOS\Extensão de Perna na Máquina Smith Reversa.gif;media\exercicios\GIFS ACADEMIA\GLÚTEOS\Glúteo Coice No Smith.gif;media\exercicios\GIFS ACADEMIA\OMBROS\Desenvolvimento de ombros atrás da cabeça na máquina Smith.gif
733,Afundo,Smith,media\exercicios\GIFS CROSSFIT\Arranco com kettlebell em afundo.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Afundo Alternado com Salto.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Afundo com Gymstick.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Afundo Lateral.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Afundo no banco.gif
