id,variacao_nome,exercicio,arquivo_gif,score,resultado,url_salva,detalhe,timestamp
863,Remada Unilateral Com Barra,Remada,COSTAS/Remada Unilateral com Barra.gif,1.0000,DRY_RUN,,Simulação — nenhuma alteração realizada,2026-06-03T09:39:31
864,Remada T Invertida,Remada,COSTAS/Remada Invertida.gif,0.9412,DRY_RUN,,Simulação — nenhuma alteração realizada,2026-06-03T09:39:31
