id,variacao_nome,exercicio,arquivo_gif,score,resultado,url_salva,detalhe,timestamp
887,Agachamento Frontal,Agachamento,PERNAS/Agachamento Frontal.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490508/exercicios/gif/variacao-887.gif,,2026-06-03T09:41:51
888,Descida De Um Pé Só,Outros,PERNAS/Descida de um Pé Só.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490512/exercicios/gif/variacao-888.gif,,2026-06-03T09:41:52
889,Peso Muerto Piernas Rígidas Con Barra,Outros,PERNAS/Peso muerto piernas rígidas con barra.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490513/exercicios/gif/variacao-889.gif,,2026-06-03T09:41:53
890,Agachamento Frontal Com Cabo,Agachamento,PERNAS/Agachamento Frontal com Cabo.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490514/exercicios/gif/variacao-890.gif,,2026-06-03T09:41:55
893,Agachamento Frontal Com Barra No Banco,Agachamento,PERNAS/Agachamento Frontal com Barra no Banco.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490516/exercicios/gif/variacao-893.gif,,2026-06-03T09:41:56
894,Flexão Nórdica,Outros,PERNAS/Flexão Nórdica.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490517/exercicios/gif/variacao-894.gif,,2026-06-03T09:41:58
896,Agachamento Frontal Com Barra No Smith,Agachamento,PERNAS/Agachamento Frontal com Barra no Smith.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490518/exercicios/gif/variacao-896.gif,,2026-06-03T09:41:58
898,Agachamento Hack Com Barra,Agachamento,PERNAS/Agachamento hack com barra.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490519/exercicios/gif/variacao-898.gif,,2026-06-03T09:41:59
903,Bom Dia,Outros,PERNAS/Bom dia.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490520/exercicios/gif/variacao-903.gif,,2026-06-03T09:42:00
909,Bom Dia (1),Outros,PERNAS/Bom dia (1).gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490521/exercicios/gif/variacao-909.gif,,2026-06-03T09:42:03
912,Agachamento Com Trava,Agachamento,PERNAS/Agachamento com Trava.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490523/exercicios/gif/variacao-912.gif,,2026-06-03T09:42:05
913,Tríceps Coice Com Cabo,Tríceps,TRÍCEPS/Tríceps Coice com Cabo.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490528/exercicios/gif/variacao-913.gif,,2026-06-03T09:42:10
914,Extensão De Tríceps No Cabo Alto,Tríceps,TRÍCEPS/Extensão de tríceps no cabo alto.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490531/exercicios/gif/variacao-914.gif,,2026-06-03T09:42:12
915,Extensão De Tríceps Lateral Com Cabo,Tríceps,TRÍCEPS/Extensão de tríceps lateral com cabo.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490533/exercicios/gif/variacao-915.gif,,2026-06-03T09:42:13
918,Extensão De Tríceps Com Barra Em Pé,Tríceps,TRÍCEPS/Extensão de tríceps com barra em pé.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490534/exercicios/gif/variacao-918.gif,,2026-06-03T09:42:14
919,Tríceps Francês Unilateral No Cabo,Tríceps Francês,TRÍCEPS/Tríceps francês unilateral no cabo.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490535/exercicios/gif/variacao-919.gif,,2026-06-03T09:42:16
920,Extensão De Tríceps Deitado Com Barra W Pegada Fechada Atrás Da Cabeça,Tríceps,TRÍCEPS/Extensão de Tríceps deitado com Barra W Pegada Fechada atrás da Cabeça.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490536/exercicios/gif/variacao-920.gif,,2026-06-03T09:42:17
921,Extensão De Tríceps Na Máquina,Tríceps,TRÍCEPS/Extensão de tríceps na máquina.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490538/exercicios/gif/variacao-921.gif,,2026-06-03T09:42:19
922,Tríceps No Banco(1),Tríceps,TRÍCEPS/Tríceps no Banco(1).gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490539/exercicios/gif/variacao-922.gif,,2026-06-03T09:42:20
926,Extensão De Tríceps Deitado Com Corda,Tríceps,TRÍCEPS/Extensão de Tríceps deitado com Corda.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490540/exercicios/gif/variacao-926.gif,,2026-06-03T09:42:21
927,Extensão De Tríceps Com Deitado Com Barra,Tríceps,TRÍCEPS/Extensão de Tríceps com deitado com Barra.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490541/exercicios/gif/variacao-927.gif,,2026-06-03T09:42:22
931,Tríceps Francês Na Polia Com Corda,Tríceps Francês,TRÍCEPS/Tríceps francês na polia com corda.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490542/exercicios/gif/variacao-931.gif,,2026-06-03T09:42:23
932,Máquina De Flexão De Tríceps,Tríceps,TRÍCEPS/Máquina de flexão de tríceps.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490543/exercicios/gif/variacao-932.gif,,2026-06-03T09:42:24
933,Extensão De Tríceps Com Um Braço,Tríceps,TRÍCEPS/Extensão de tríceps com um braço.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490545/exercicios/gif/variacao-933.gif,,2026-06-03T09:42:26
934,Flexão De Apoio Com Elevação De Braço,Outros,TRÍCEPS/Flexão de apoio com elevação de braço.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490546/exercicios/gif/variacao-934.gif,,2026-06-03T09:42:28
939,Extensão De Tríceps Com Barra Atrás Da Cabeça,Tríceps,TRÍCEPS/Extensão de tríceps com barra atrás da cabeça.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490548/exercicios/gif/variacao-939.gif,,2026-06-03T09:42:30
940,Mergulho De Tríceps,Tríceps,TRÍCEPS/Mergulho de tríceps.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490550/exercicios/gif/variacao-940.gif,,2026-06-03T09:42:31
941,Tríceps Testa Com Barra,Tríceps Testa,TRÍCEPS/Tríceps testa com barra.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490551/exercicios/gif/variacao-941.gif,,2026-06-03T09:42:32
945,Extensão De Tríceps Com Uma Mão No Pulley Alto Sobre A Cabeça,Tríceps,TRÍCEPS/Extensão de Tríceps com Uma Mão no Pulley Alto Sobre a Cabeça.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490552/exercicios/gif/variacao-945.gif,,2026-06-03T09:42:33
951,Mergulhos Assistidos Para Tríceps,Tríceps,TRÍCEPS/Mergulhos Assistidos para Tríceps.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490554/exercicios/gif/variacao-951.gif,,2026-06-03T09:42:35
952,Desenvolvimento Arnold (Metade),Desenvolvimento,OMBROS/Desenvolvimento Arnold (metade).gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490555/exercicios/gif/variacao-952.gif,,2026-06-03T09:42:36
957,Desenvolvimento Militar Inclinado Com Barra Presa No Chão,Desenvolvimento,OMBROS/Desenvolvimento militar inclinado com barra presa no chão.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490556/exercicios/gif/variacao-957.gif,,2026-06-03T09:42:37
959,Elevação Frontal Com Cabo Duplo No Cross,Cross Over,OMBROS/elevação frontal com cabo duplo no cross.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490557/exercicios/gif/variacao-959.gif,,2026-06-03T09:42:38
961,Elevação Lateral Com Barra No Chão,Elevação Lateral,OMBROS/Elevação lateral com barra no chão.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490558/exercicios/gif/variacao-961.gif,,2026-06-03T09:42:39
964,Elevação Frontal Com Halteres,Outros,OMBROS/Elevação frontal com halteres.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490559/exercicios/gif/variacao-964.gif,,2026-06-03T09:42:40
968,Elevação Lateral Com Halteres Com Apoio No Peito,Elevação Lateral,OMBROS/Elevação lateral com halteres com apoio no peito.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490561/exercicios/gif/variacao-968.gif,,2026-06-03T09:42:42
969,Desenvolvimento De Ombro Na Máquina,Desenvolvimento,OMBROS/Desenvolvimento de ombro na máquina.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490562/exercicios/gif/variacao-969.gif,,2026-06-03T09:42:43
972,Desenvolvimento Arnold Com Um Braço,Desenvolvimento,OMBROS/Desenvolvimento arnold com um braço.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490563/exercicios/gif/variacao-972.gif,,2026-06-03T09:42:44
975,Elevações Frontais Com Halteres Apoiadas No Peito,Outros,OMBROS/Elevações frontais com halteres apoiadas no peito.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490564/exercicios/gif/variacao-975.gif,,2026-06-03T09:42:45
976,Desenvolvimento De Ombro Com Cabo,Desenvolvimento,OMBROS/Desenvolvimento de ombro com cabo.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490565/exercicios/gif/variacao-976.gif,,2026-06-03T09:42:46
