id,variacao_nome,exercicio,cloudinary_atual,status,arquivo_gif,score,observacao
891,Avanço Invertido,Outros,,SEM_MATCH,,,
892,Agachamento Goblet,Agachamento,,SEM_MATCH,,,
893,Agachamento Frontal Com Barra No Banco,Agachamento,,MATCH,PERNAS/Agachamento Frontal com Barra no Banco.gif,1.0000,
894,Flexão Nórdica,Outros,,MATCH,PERNAS/Flexão Nórdica.gif,1.0000,
895,Elevação De Perna Em Pé,Outros,,SEM_MATCH,,,
896,Agachamento Frontal Com Barra No Smith,Agachamento,,MATCH,PERNAS/Agachamento Frontal com Barra no Smith.gif,1.0000,
897,Elevação De Joelho,Outros,,SEM_MATCH,,,
898,Agachamento Hack Com Barra,Agachamento,,MATCH,PERNAS/Agachamento hack com barra.gif,1.0000,
899,Stiff Unilateral,Outros,,SEM_MATCH,,,
900,Elevação Com Barra Em,Outros,,SEM_MATCH,,,
901,Extensão De Perna,Outros,,SEM_MATCH,,,
902,Wall Sit,Outros,,AMBIGUO,,1.0000,"AMBÍGUO: melhor=Wall Sit(1.000), segundo=Wall Sit(1.000), gap=0.000"
903,Bom Dia,Outros,,MATCH,PERNAS/Bom dia.gif,1.0000,
904,Subida No Step Com Elevação,Outros,,SEM_MATCH,,,
905,Afundo,Outros,,SEM_MATCH,,,
906,Flexão De Pernas,Outros,,SEM_MATCH,,,
907,Leg Press,Leg Press,,SEM_MATCH,,,
908,Flexão De Pernas Com Halteres,Outros,,SEM_MATCH,,,
909,Bom Dia (1),Outros,,MATCH,PERNAS/Bom dia (1).gif,1.0000,
910,Agachamento Unilateral Cruzado,Agachamento,,SEM_MATCH,,,
911,Pressão Unilateral Assistida Por,Outros,,SEM_MATCH,,,
912,Agachamento Com Trava,Agachamento,,MATCH,PERNAS/Agachamento com Trava.gif,1.0000,
913,Tríceps Coice Com Cabo,Tríceps,,MATCH,TRÍCEPS/Tríceps Coice com Cabo.gif,1.0000,
914,Extensão De Tríceps No Cabo Alto,Tríceps,,MATCH,TRÍCEPS/Extensão de tríceps no cabo alto.gif,1.0000,
915,Extensão De Tríceps Lateral Com Cabo,Tríceps,,MATCH,TRÍCEPS/Extensão de tríceps lateral com cabo.gif,1.0000,
916,Tríceps Francês,Tríceps Francês,,SEM_MATCH,,,
917,Extensão De Tríceps Com Cabo Em Posição,Tríceps,,SEM_MATCH,,,
918,Extensão De Tríceps Com Barra Em Pé,Tríceps,,MATCH,TRÍCEPS/Extensão de tríceps com barra em pé.gif,1.0000,
919,Tríceps Francês Unilateral No Cabo,Tríceps Francês,,MATCH,TRÍCEPS/Tríceps francês unilateral no cabo.gif,1.0000,
920,Extensão De Tríceps Deitado Com Barra W Pegada Fechada Atrás Da Cabeça,Tríceps,,MATCH,TRÍCEPS/Extensão de Tríceps deitado com Barra W Pegada Fechada atrás da Cabeça.gif,1.0000,
921,Extensão De Tríceps Na Máquina,Tríceps,,MATCH,TRÍCEPS/Extensão de tríceps na máquina.gif,1.0000,
922,Tríceps No Banco(1),Tríceps,,MATCH,TRÍCEPS/Tríceps no Banco(1).gif,1.0000,
923,Extensão De Tríceps Com Cabo,Tríceps,,SEM_MATCH,,,
924,Tríceps Francês Alternada Com Halteres No Banco,Tríceps Francês,,SEM_MATCH,,,
925,Extensão Concentrada Com Cabo,Outros,,SEM_MATCH,,,
926,Extensão De Tríceps Deitado Com Corda,Tríceps,,MATCH,TRÍCEPS/Extensão de Tríceps deitado com Corda.gif,1.0000,
927,Extensão De Tríceps Com Deitado Com Barra,Tríceps,,MATCH,TRÍCEPS/Extensão de Tríceps com deitado com Barra.gif,1.0000,
928,Tríceps Francês Com Halter,Tríceps Francês,,MATCH,TRÍCEPS/Tríceps Francês com Halteres.gif,0.8830,
929,Extensão De Tríceps Invertida,Tríceps,,SEM_MATCH,,,
930,Extensão De Tríceps Com Barra W,Tríceps,,SEM_MATCH,,,
931,Tríceps Francês Na Polia Com Corda,Tríceps Francês,,MATCH,TRÍCEPS/Tríceps francês na polia com corda.gif,1.0000,
932,Máquina De Flexão De Tríceps,Tríceps,,MATCH,TRÍCEPS/Máquina de flexão de tríceps.gif,1.0000,
933,Extensão De Tríceps Com Um Braço,Tríceps,,MATCH,TRÍCEPS/Extensão de tríceps com um braço.gif,1.0000,
934,Flexão De Apoio Com Elevação De Braço,Outros,,MATCH,TRÍCEPS/Flexão de apoio com elevação de braço.gif,1.0000,
935,Tríceps Testa Pegada Neutra,Tríceps Testa,,SEM_MATCH,,,
936,Tríceps Testa Com Barra Pegada,Tríceps Testa,,MATCH,TRÍCEPS/Tríceps testa com barra.gif,0.8679,
937,Tríceps Pulley Pegada,Tríceps,,SEM_MATCH,,,
938,Supino,Supino,,SEM_MATCH,,,
939,Extensão De Tríceps Com Barra Atrás Da Cabeça,Tríceps,,MATCH,TRÍCEPS/Extensão de tríceps com barra atrás da cabeça.gif,1.0000,
940,Mergulho De Tríceps,Tríceps,,MATCH,TRÍCEPS/Mergulho de tríceps.gif,1.0000,
941,Tríceps Testa Com Barra,Tríceps Testa,,MATCH,TRÍCEPS/Tríceps testa com barra.gif,1.0000,
942,Extensão De Tríceps Testa Declinado,Tríceps Testa,,SEM_MATCH,,,
943,Tríceps Testa Com Banco Declinado,Tríceps Testa,,SEM_MATCH,,,
944,Extensão De Tríceps Com Pegada,Tríceps,,SEM_MATCH,,,
945,Extensão De Tríceps Com Uma Mão No Pulley Alto Sobre A Cabeça,Tríceps,,MATCH,TRÍCEPS/Extensão de Tríceps com Uma Mão no Pulley Alto Sobre a Cabeça.gif,1.0000,
946,Tríceps Francês Com Barra W Acima Da Cabeça,Tríceps Francês,,SEM_MATCH,,,
947,Extensão De Tríceps Com Cabo Na Posição,Tríceps,,SEM_MATCH,,,
948,Extensão De Tríceps Na Máquina Pegada,Tríceps,,MATCH,TRÍCEPS/Extensão de tríceps na máquina.gif,0.8955,
949,Tríceps Francês No Banco Inclinado,Tríceps Francês,,SEM_MATCH,,,
950,Extensão De Tríceps No Cabo,Tríceps,,SEM_MATCH,,,
951,Mergulhos Assistidos Para Tríceps,Tríceps,,MATCH,TRÍCEPS/Mergulhos Assistidos para Tríceps.gif,1.0000,
952,Desenvolvimento Arnold (Metade),Desenvolvimento,,MATCH,OMBROS/Desenvolvimento Arnold (metade).gif,1.0000,
953,Elevação Lateral Unilateral,Elevação Lateral,,SEM_MATCH,,,
954,Remada De Deltoide Posterior Sentado,Remada,,SEM_MATCH,,,
955,Elevação Lateral Com Braço,Elevação Lateral,,SEM_MATCH,,,
956,Desenvolvimento De Ombros Com Barra W Com Pegada,Desenvolvimento,,SEM_MATCH,,,
957,Desenvolvimento Militar Inclinado Com Barra Presa No Chão,Desenvolvimento,,MATCH,OMBROS/Desenvolvimento militar inclinado com barra presa no chão.gif,1.0000,
958,Desenvolvimento Cubano Sentado,Desenvolvimento,,SEM_MATCH,,,
959,Elevação Frontal Com Cabo Duplo No Cross,Cross Over,,MATCH,OMBROS/elevação frontal com cabo duplo no cross.gif,1.0000,
960,Remada Inversa Com Cabos,Remada,,SEM_MATCH,,,
961,Elevação Lateral Com Barra No Chão,Elevação Lateral,,MATCH,OMBROS/Elevação lateral com barra no chão.gif,1.0000,
962,Elevação Lateral De Halteres,Elevação Lateral,,SEM_MATCH,,,
963,Elevação Lateral Alternada,Elevação Lateral,,SEM_MATCH,,,
964,Elevação Frontal Com Halteres,Outros,,MATCH,OMBROS/Elevação frontal com halteres.gif,1.0000,
965,Elevação Lateral Cruzada,Elevação Lateral,,SEM_MATCH,,,
966,Remada Lateral Com Halteres,Remada,,SEM_MATCH,,,
967,Desenvolvimento Militar Com Pegada,Desenvolvimento,,SEM_MATCH,,,
968,Elevação Lateral Com Halteres Com Apoio No Peito,Elevação Lateral,,MATCH,OMBROS/Elevação lateral com halteres com apoio no peito.gif,1.0000,
969,Desenvolvimento De Ombro Na Máquina,Desenvolvimento,,MATCH,OMBROS/Desenvolvimento de ombro na máquina.gif,1.0000,
970,Desenvolvimento Militar Com Barra No Chão,Desenvolvimento,,MATCH,OMBROS/Desenvolvimento militar com barra.gif,0.8919,
971,Elevação Lateral E Frontal,Elevação Lateral,,SEM_MATCH,,,
972,Desenvolvimento Arnold Com Um Braço,Desenvolvimento,,MATCH,OMBROS/Desenvolvimento arnold com um braço.gif,1.0000,
973,Elevação Lateral Unilateral Com Haltere,Elevação Lateral,,MATCH,OMBROS/Elevação lateral unilateral com halteres.gif,0.9073,
974,Elevação Lateral De Braços,Elevação Lateral,,SEM_MATCH,,,
975,Elevações Frontais Com Halteres Apoiadas No Peito,Outros,,MATCH,OMBROS/Elevações frontais com halteres apoiadas no peito.gif,1.0000,
976,Desenvolvimento De Ombro Com Cabo,Desenvolvimento,,MATCH,OMBROS/Desenvolvimento de ombro com cabo.gif,1.0000,
977,Desenvolvimento De Ombros Atrás Da Cabeça Na Máquina Smith,Desenvolvimento,,MATCH,OMBROS/Desenvolvimento de ombros atrás da cabeça na máquina Smith.gif,1.0000,
978,Elevação Frontal Com Barra,Outros,,SEM_MATCH,,,
979,Voador Para Deltoides Posterior Com Cabo,Outros,,MATCH,OMBROS/Voador para deltoides posterior com cabo.gif,1.0000,
980,Remada Inclinada A 45 Graus,Remada,,MATCH,OMBROS/Remada inclinada a 45 graus.gif,1.0000,
981,Levantamento De Halteres De 4 Maneiras (2),Outros,,MATCH,OMBROS/Levantamento de halteres de 4 maneiras (2).gif,1.0000,
982,Desenvolvimento Militar Em Pé Na Máquina Smith,Desenvolvimento,,MATCH,OMBROS/Desenvolvimento militar em pé na máquina Smith.gif,1.0000,
983,Desenvolvimento De Ombro Com Halteres Em Z,Desenvolvimento,,MATCH,OMBROS/Desenvolvimento de ombro com halteres em Z.gif,1.0000,
984,Elevação Frontal Com Barra W,Outros,,SEM_MATCH,,,
985,Elevação Posterior Unilateral Com Halteres Em Decúbito Prono,Outros,,MATCH,OMBROS/Elevação Posterior unilateral com halteres em Decúbito Prono.gif,1.0000,
986,Elevação Lateral Na Máquina,Elevação Lateral,,MATCH,OMBROS/Elevação lateral na máquina.gif,1.0000,
987,Levantamento Frontal De Cabo Com Dois Braços,Outros,,MATCH,OMBROS/Levantamento frontal de cabo com dois braços.gif,1.0000,
988,Elevação Frontal,Outros,,SEM_MATCH,,,
989,Elevação Lateral De Braços Com Cabo,Elevação Lateral,,MATCH,OMBROS/Elevação lateral de braços com cabo.gif,1.0000,
990,Desenvolvimento De Ombro Reversa Na Máquina,Desenvolvimento,,MATCH,OMBROS/Desenvolvimento de ombro reversa na máquina.gif,1.0000,
991,Elevação Lateral,Elevação Lateral,,SEM_MATCH,,,
992,Desenvolvimento De Ombro Na Máquina (Pegada Martelo),Desenvolvimento,,MATCH,OMBROS/Desenvolvimento de ombro na máquina (pegada martelo).gif,1.0000,
993,Desenvolvimento De Ombro Com Barra,Desenvolvimento,,SEM_MATCH,,,
994,Remada Com Halteres Para A Posterior,Remada,,SEM_MATCH,,,
995,Desenvolvimento De Ombro,Desenvolvimento,,SEM_MATCH,,,
996,Desenvolvimento De Ombros Com Rotação Alternada,Desenvolvimento,,SEM_MATCH,,,
997,Elevação Frontal Alternada,Outros,,SEM_MATCH,,,
998,Voador,Outros,,SEM_MATCH,,,
999,Desenvolvimento De Ombro Alternada Em Pé,Desenvolvimento,,SEM_MATCH,,,
1000,Desenvolvimento De Ombro Com Halteres Em Forma De W,Desenvolvimento,,MATCH,OMBROS/Desenvolvimento de ombro com halteres em forma de W.gif,1.0000,
1001,Elevação Lateral Com Tronco,Elevação Lateral,,SEM_MATCH,,,
1002,Desenvolvimento Cubano,Desenvolvimento,,SEM_MATCH,,,
1003,Elevação Lateral Com Halteres Para Deltoides Posteriores,Elevação Lateral,,MATCH,OMBROS/Elevação lateral com halteres para deltoides posteriores deitado.gif,0.8533,
1004,Elevação Frontal Com Dois Braços,Outros,,SEM_MATCH,,,
1005,Elevação Lateral Unilateral Com Cabo,Elevação Lateral,,MATCH,OMBROS/Elevação lateral unilateral com cabo.gif,1.0000,
1006,Desenvolvimento De Ombro Unilateral,Desenvolvimento,,SEM_MATCH,,,
1007,Elevação Lateral Com Halteres,Elevação Lateral,,SEM_MATCH,,,
1008,Crucifixo Inverso Unilateral Com Cabo,Crucifixo,,MATCH,OMBROS/Crucifixo inverso unilateral com cabo.gif,1.0000,
1009,Desenvolvimento Militar De Uma Mão,Desenvolvimento,,SEM_MATCH,,,
1010,Levantamento De Halteres De 3,Outros,,SEM_MATCH,,,
1011,Desenvolvimento De Ombros Atrás Do Pescoço,Desenvolvimento,,SEM_MATCH,,,
1012,Remada Alta (1),Remada,,MATCH,OMBROS/Remada Alta (1).gif,1.0000,
1013,Círculos De Braço Com Pesos,Outros,,MATCH,OMBROS/Círculos de Braço com Pesos.gif,1.0000,
1014,Máquina Elíptica,Outros,,MATCH,CARDIO ACADEMIA/Máquina Elíptica.gif,1.0000,
1015,Máquina Simulador,Outros,,SEM_MATCH,,,
1016,Hands Bike,Bike,,MATCH,CARDIO ACADEMIA/Hands Bike.gif,1.0000,
1017,Máquina De Caminhada Ondulatório,Outros,,MATCH,CARDIO ACADEMIA/Máquina de Caminhada Ondulatório.gif,1.0000,
1018,Bicicleta Ergométrica,Outros,,SEM_MATCH,,,
1019,Esteira Com Inclinação,Esteira,,MATCH,CARDIO ACADEMIA/Esteira com Inclinação.gif,1.0000,
1020,Bike,Bike,,MATCH,CARDIO ACADEMIA/Bike.gif,1.0000,
1021,Esteira Ergométrica,Esteira,,MATCH,CARDIO ACADEMIA/Esteira Ergométrica.gif,1.0000,
1022,Corrida Na Bicicleta Ergométrica,Outros,,MATCH,CARDIO ACADEMIA/Corrida na Bicicleta Ergométrica.gif,1.0000,
1023,Plataforma Vibratória,Outros,,MATCH,CARDIO ACADEMIA/Plataforma Vibratória.gif,1.0000,
1024,Elevação,Outros,,SEM_MATCH,,,
1025,Elevação De Panturrilha No Leg Press,Panturrilha,,MATCH,PANTURRILHAS/Elevação de Panturrilha no Leg Press.gif,1.0000,
1026,Elevação De Panturrilha Em Máquina Em Pé,Panturrilha,,MATCH,PANTURRILHAS/Elevação de Panturrilha em Máquina em pé.gif,1.0000,
1027,Elevação Unilateral De Panturrilha No Leg Press,Panturrilha,,MATCH,PANTURRILHAS/Elevação Unilateral de Panturrilha no Leg Press.gif,1.0000,
1028,Elevação De Panturrilha Na Máquina,Panturrilha,,MATCH,PANTURRILHAS/Elevação de Panturrilha na Máquina.gif,1.0000,
1029,Levantamento De Panturrilha Com Apoio De Banco,Panturrilha,,MATCH,PANTURRILHAS/Levantamento de panturrilha com apoio de banco.gif,1.0000,
1030,Levantamento De Panturrilha Com Apoio E,Panturrilha,,SEM_MATCH,,,
1031,Elevação De Panturrilha Sentado Com Barra,Panturrilha,,MATCH,PANTURRILHAS/Elevação de Panturrilha Sentado com Barra.gif,1.0000,
1032,Elevação De Panturrilha Com Barra Em Pé,Panturrilha,,MATCH,PANTURRILHAS/Elevação de Panturrilha com Barra em Pé.gif,1.0000,
1033,Elevação De Panturrilha Com Uma Perna Na Máquina Hack,Panturrilha,,MATCH,PANTURRILHAS/Elevação de Panturrilha com Uma Perna na Máquina Hack.gif,1.0000,
1034,Panturrilhas Em Pé,Panturrilha,,MATCH,PANTURRILHAS/Panturrilhas em Pé.gif,1.0000,
1035,Elevação De Panturrilha Sentado Com Peso,Panturrilha,,MATCH,PANTURRILHAS/Elevação de Panturrilha Sentado com Peso.gif,1.0000,
1036,Elevação De Panturrilhas No Hack,Panturrilha,,MATCH,PANTURRILHAS/Elevação de Panturrilhas no Hack.gif,1.0000,
1037,Levantamento De Panturrilha Com Apoio De Uma Perna,Panturrilha,,MATCH,PANTURRILHAS/Levantamento de panturrilha com apoio de uma perna.gif,1.0000,
1038,Panturrilha Em Pé No Smith,Panturrilha,,MATCH,PANTURRILHAS/Panturrilha em Pé no Smith.gif,1.0000,
1039,Agachamento Com Sustentação E Elevação,Agachamento,,SEM_MATCH,,,
1040,Levantamento De Panturrilha,Panturrilha,,SEM_MATCH,,,
1041,Rosca Concentrada Com Pegada Fechada,Rosca,,SEM_MATCH,,,
1042,Rosca Martelo,Rosca Martelo,,MATCH,BÍCEPS/Rosca martelo.gif,1.0000,
1043,Máquina De Rosca,Rosca,,SEM_MATCH,,,
1044,Rosca Martelo Com Halteres No Banco Scott,Rosca Martelo,,MATCH,BÍCEPS/Rosca martelo com halteres no banco scott.gif,1.0000,
1045,Rosca Inversa,Rosca,,SEM_MATCH,,,
1046,Rosca Direta Com Barra,Rosca,,MATCH,BÍCEPS/Rosca Direta com Barra.gif,1.0000,
1047,Rosca Inversa Com Barra W,Rosca,,MATCH,BÍCEPS/Rosca inversa com barra W.gif,1.0000,
1048,Rosca Direta Com Cabo,Rosca,,SEM_MATCH,,,
1049,Rosca Direta Com Barra No Colete Scott,Rosca,,MATCH,BÍCEPS/Rosca Direta com Barra no colete scott.gif,1.0000,
1050,Rosca Martelo Com Halter No Colete Scott,Rosca Martelo,,MATCH,BÍCEPS/Rosca martelo com halter no colete scott.gif,1.0000,
1051,Rosca No Cabo,Rosca,,MATCH,BÍCEPS/Rosca no Cabo.gif,1.0000,
1052,Rosca Martelo Com Corda,Rosca Martelo,,MATCH,BÍCEPS/Rosca martelo com corda.gif,1.0000,
1053,Rosca Bíceps Alta,Rosca,,SEM_MATCH,,,
1054,Elevação Pélvica Na Máquina,Outros,,MATCH,GLÚTEOS/Elevação Pélvica Na Máquina.gif,1.0000,
1055,Glúteo Coice No Smith,Glúteo,,MATCH,GLÚTEOS/Glúteo Coice No Smith.gif,1.0000,
1056,Extensão De Quadril Em Pé,Outros,,SEM_MATCH,,,
1057,Elevação Pélvica Com Banda De Resistência,Outros,,MATCH,GLÚTEOS/Elevação Pélvica com Banda de Resistência.gif,1.0000,
1058,Quatro,Outros,,SEM_MATCH,,,
1059,Abdução De Quadril Com Ponte,Outros,,MATCH,GLÚTEOS/Abdução de Quadril com Ponte.gif,1.0000,
1060,Ponte,Outros,,SEM_MATCH,,,
1061,Glúteo Coice Na Máquina De Extensão,Glúteo,,SEM_MATCH,,,
1062,Extensão De Perna Na Máquina Smith,Outros,,SEM_MATCH,,,
1063,Elevação Pélvica Na Máquina De Extensão,Outros,,SEM_MATCH,,,
1064,Agachamento Na Máquina,Agachamento,,SEM_MATCH,,,
1065,Extensão De Quadril Com Cabo,Outros,,MATCH,GLÚTEOS/Extensão de Quadril com Cabo.gif,1.0000,
1066,Abdução Lateral Do Quadril,Outros,,SEM_MATCH,,,
1067,Puxada De Cabo,Puxada,,SEM_MATCH,,,
1068,Glúteos Na Polia Baixa,Glúteo,,MATCH,GLÚTEOS/Glúteos na Polia Baixa.gif,1.0000,
1069,Glúteo Coice,Glúteo,,SEM_MATCH,,,
1070,Elevación De Piernas En Suspensión,Outros,,MATCH,GIFS ABDOMINAIS/Elevación de piernas en suspensión.gif,1.0000,
1071,Crunch En Banco,Outros,,SEM_MATCH,,,
1072,V-Up Com Bola,Outros,,SEM_MATCH,,,
1073,V-Up,Outros,,MATCH,GIFS ABDOMINAIS/V-Up.gif,1.0000,
1074,Abdominal-Obliquo-2,Abdominal,,MATCH,GIFS ABDOMINAIS/Abdominal-obliquo-2.gif,1.0000,
1075,Torção Sentada Com Faixa De Resistência,Outros,,MATCH,GIFS ABDOMINAIS/Torção Sentada com Faixa de Resistência.gif,1.0000,
1076,Abdominal Oblíquo,Abdominal,,MATCH,GIFS ABDOMINAIS/Abdominal Oblíquo.gif,1.0000,
1077,Torção Com Tronco,Outros,,SEM_MATCH,,,
1078,Torção Com Faixa Elástica De Resistência,Outros,,MATCH,GIFS ABDOMINAIS/Torção com Faixa Elástica de Resistência.gif,1.0000,
1079,Torção Com Cabo,Outros,,SEM_MATCH,,,
1080,Toques Nos Dedos Com O Corpo,Outros,,SEM_MATCH,,,
1081,Torção Deitada Com Peso,Outros,,MATCH,GIFS ABDOMINAIS/Torção deitada com Peso.gif,1.0000,
1082,Rolamento Com Barra Em Pé,Outros,,MATCH,GIFS ABDOMINAIS/Rolamento com barra em pé.gif,1.0000,
1083,Tesoura,Outros,,SEM_MATCH,,,
1084,Toque,Outros,,SEM_MATCH,,,
1085,Prancha,Prancha,,MATCH,GIFS ABDOMINAIS/Prancha.gif,1.0000,
1086,Prancha Lateral Com Abdominal Oblíquo,Abdominal,,MATCH,GIFS ABDOMINAIS/Prancha Lateral com Abdominal Oblíquo.gif,1.0000,
1087,Prancha Joelho Ao,Prancha,,SEM_MATCH,,,
1088,Prancha Com Movimento,Prancha,,SEM_MATCH,,,
1089,Prancha Frontal Com Elevação De Braço E Perna,Prancha,,MATCH,GIFS ABDOMINAIS/Prancha Frontal com Elevação de Braço e Perna.gif,1.0000,
1090,Torção Com Barra,Outros,,SEM_MATCH,,,
1091,Torção Em Pé Com Cabo,Outros,,MATCH,GIFS ABDOMINAIS/Torção em Pé com Cabo.gif,1.0000,
1092,Prancha Com Elevação De Braço E Perna,Prancha,,MATCH,GIFS ABDOMINAIS/Prancha com Elevação de Braço e Perna.gif,1.0000,
1093,Torção Russa,Outros,,MATCH,GIFS ABDOMINAIS/Torção russa.gif,1.0000,
1094,Prancha De Frente Para A Prancha,Prancha,,SEM_MATCH,,,
1095,Máquina De Torção,Outros,,SEM_MATCH,,,
1096,Sit-Up,Outros,,MATCH,GIFS ABDOMINAIS/Sit-up.gif,1.0000,
1097,Torção De Alto Para Baixo Com Cabo Em Pé,Outros,,MATCH,GIFS ABDOMINAIS/Torção de Alto para Baixo com Cabo em Pé.gif,1.0000,
1098,Prancha Com Abertura De Pernas - Perna,Prancha,,SEM_MATCH,,,
1099,Toque Nos Dedos Dos Pés Com Giro,Outros,,SEM_MATCH,,,
1100,Meio,Outros,,SEM_MATCH,,,
1101,Prancha Frontal Com Peso,Prancha,,MATCH,GIFS ABDOMINAIS/Prancha Frontal com Peso.gif,1.0000,
1102,Prancha Lateral Com Flexão,Prancha,,SEM_MATCH,,,
1103,Puxada De Pernas Sentado Em Banco,Puxada,,MATCH,GIFS ABDOMINAIS/Puxada de Pernas Sentado em Banco.gif,1.0000,
1104,L-Sit,Outros,,MATCH,GIFS ABDOMINAIS/L-Sit.gif,1.0000,
1105,Rolamento Com Barra,Outros,,MATCH,GIFS ABDOMINAIS/Rolamento com barra.gif,1.0000,
1106,Extensão Com Roda,Outros,,SEM_MATCH,,,
1107,Levantamento De Quadril Com Pernas Elevadas Em Banco,Outros,,SEM_MATCH,,,
1108,Pés À Barra,Outros,,MATCH,GIFS ABDOMINAIS/Pés à Barra.gif,1.0000,
1109,Posição,Outros,,SEM_MATCH,,,
1110,Prancha Frontal Com Elevação De Braço,Prancha,,MATCH,GIFS ABDOMINAIS/Prancha Frontal com Elevação de Braço.gif,1.0000,
1111,Máquina De Abdominal,Abdominal,,SEM_MATCH,,,
1112,Giro Sentado Com Cruzamento De Braços No Cabo,Outros,,MATCH,GIFS ABDOMINAIS/Giro Sentado com Cruzamento de Braços no Cabo.gif,1.0000,
1113,Inclinação Lateral Em Pé,Outros,,AMBIGUO,,1.0000,"AMBÍGUO: melhor=Inclinação Lateral em Pé(1.000), segundo=Inclinação Lateral em Pé(1.000), gap=0.000"
1114,Flexão De Tronco Em T,Outros,,MATCH,GIFS ABDOMINAIS/Flexão de Tronco em T.gif,1.0000,
1115,Inclinação Lateral Com Barra,Outros,,MATCH,GIFS ABDOMINAIS/Inclinação Lateral com Barra.gif,1.0000,
1116,Máquina De Abdominais,Outros,,SEM_MATCH,,,
1117,Máquina Abdominal,Abdominal,,SEM_MATCH,,,
1118,Elevação De Joelhos Na Barra Fixa,Outros,,MATCH,GIFS ABDOMINAIS/Elevação de Joelhos na Barra Fixa.gif,1.0000,
1119,Posição Do Barco,Outros,,MATCH,GIFS ABDOMINAIS/Posição do Barco.gif,1.0000,
1120,Meio Giro,Outros,,MATCH,GIFS ABDOMINAIS/Meio Giro.gif,1.0000,
1121,Inclinação Lateral Com Peso Em Bola,Outros,,SEM_MATCH,,,
1122,Exercício De Vácuo Abdominal Em Quatro,Abdominal,,SEM_MATCH,,,
1123,Elevação Alternada De Pernas Deitado No Chão,Outros,,MATCH,GIFS ABDOMINAIS/Elevação Alternada de Pernas deitado no Chão.gif,1.0000,
1124,Abdominal Infra No Solo Com Flexão,Abdominal,,SEM_MATCH,,,
1125,Inclinação Lateral,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Inclinação Lateral.gif,1.0000,
1126,Inseto Morto,Outros,,MATCH,GIFS ABDOMINAIS/Inseto Morto.gif,1.0000,
1127,Encolhimento,Outros,,SEM_MATCH,,,
1128,Flexão De Joelho Com Bola,Outros,,SEM_MATCH,,,
1129,Elevação De Joelhos Com Puxada,Puxada,,SEM_MATCH,,,
1130,Limpador De Para-Brisa Na Barra Fixa,Outros,,MATCH,GIFS ABDOMINAIS/Limpador de Para-Brisa na Barra Fixa.gif,1.0000,
1131,Dragon Flag,Outros,,MATCH,GIFS ABDOMINAIS/Dragon Flag.gif,1.0000,
1132,Encolhimento Abdominal Em Pé Com Cabo,Abdominal,,MATCH,GIFS ABDOMINAIS/Encolhimento Abdominal em Pé com Cabo.gif,1.0000,
1133,Abdominal Tipo Jack Knife Com Elástico,Abdominal,,MATCH,GIFS ABDOMINAIS/Abdominal tipo jack knife com elástico.gif,1.0000,
1134,Abdominal,Abdominal,,SEM_MATCH,,,
1135,Besouro Morto Com As Mãos No Ar,Outros,,MATCH,GIFS ABDOMINAIS/Besouro Morto com as Mãos no Ar.gif,1.0000,
1136,Elevação Em V,Outros,,SEM_MATCH,,,
1137,Giro Com Barra Na Máquina,Outros,,SEM_MATCH,,,
1138,Escalador Cruzado,Outros,,SEM_MATCH,,,
1139,Elevação De Perna E Quadril Deitado Com Faixa Elástica,Outros,,MATCH,GIFS ABDOMINAIS/Elevação de Perna e Quadril deitado com Faixa Elástica.gif,1.0000,
1140,Elevação De Pernas Na Máquina,Outros,,MATCH,GIFS ABDOMINAIS/Elevação de Pernas na máquina.gif,1.0000,
1141,Elevação De Perna Na Prancha,Prancha,,MATCH,GIFS ABDOMINAIS/Elevação de Perna na Prancha.gif,1.0000,
1142,Arremesso Com Torção Russa Da Bola,Outros,,SEM_MATCH,,,
1143,Encolhimento De Abdominais De Joelhos Com Cabo,Outros,,MATCH,GIFS ABDOMINAIS/Encolhimento de Abdominais de Joelhos com Cabo.gif,1.0000,
1144,Elevação Lateral De Joelhos Na Barra Fixa,Elevação Lateral,,MATCH,GIFS ABDOMINAIS/Elevação lateral de joelhos na Barra Fixa.gif,1.0000,
1145,Exercício,Outros,,SEM_MATCH,,,
1146,Abdominal No Chão,Abdominal,,MATCH,GIFS ABDOMINAIS/Abdominal no Chão.gif,1.0000,
1147,Abdominal Com Joelhos Dobrados Com Mãos Na Nuca,Abdominal,,MATCH,GIFS ABDOMINAIS/Abdominal com joelhos dobrados com mãos na nuca.gif,1.0000,
1148,Abdominal Lateral No Banco,Abdominal,,SEM_MATCH,,,
1149,Abdominal Suspenso Com Extensão,Abdominal,,MATCH,GIFS ABDOMINAIS/Abdominal Suspenso com Extensão.gif,1.0000,
1150,Chutes No Prancha,Prancha,,SEM_MATCH,,,
1151,Elevação Alternada,Outros,,SEM_MATCH,,,
1152,Chutes Alternados,Outros,,SEM_MATCH,,,
1153,Abdominal Com Rolo,Abdominal,,SEM_MATCH,,,
1154,Abdominais Oblíquos No Chão,Outros,,MATCH,GIFS ABDOMINAIS/Abdominais Oblíquos no Chão.gif,1.0000,
1155,Abdução De Quadril No Apoio,Outros,,SEM_MATCH,,,
1156,Abdominal Com Giro,Abdominal,,SEM_MATCH,,,
1157,Abdominal Rã,Abdominal,,MATCH,GIFS ABDOMINAIS/Abdominal Rã.gif,1.0000,
