id,exercicio,variacao,score,gif_origem,gif_name
999,Desenvolvimento,Desenvolvimento De Ombro Alternada Em Pé,89.6,1530,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491031/exercicios/gif/variacao-1530.gif
1001,Elevação Lateral,Elevação Lateral Com Tronco,89.8,1531,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491032/exercicios/gif/variacao-1531.gif
1002,Desenvolvimento,Desenvolvimento Cubano,92.11,1524,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491020/exercicios/gif/variacao-1524.gif
1003,Elevação Lateral,Elevação Lateral Com Halteres Para Deltoides Posteriores,94.81,1533,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491035/exercicios/gif/variacao-1533.gif
1004,Outros,Elevação Frontal Com Dois Braços,85.71,1534,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491036/exercicios/gif/variacao-1534.gif
1006,Desenvolvimento,Desenvolvimento De Ombro Unilateral,91.07,1393,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490854/exercicios/gif/variacao-1393.gif
1007,Elevação Lateral,Elevação Lateral Com Halteres,92.0,1536,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491039/exercicios/gif/variacao-1536.gif
1009,Desenvolvimento,Desenvolvimento Militar De Uma Mão,86.96,1537,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491040/exercicios/gif/variacao-1537.gif
1010,Outros,Levantamento De Halteres De 3,88.89,1538,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491041/exercicios/gif/variacao-1538.gif
1011,Desenvolvimento,Desenvolvimento De Ombros Atrás Do Pescoço,93.55,1539,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491043/exercicios/gif/variacao-1539.gif
1030,Panturrilha,Levantamento De Panturrilha Com Apoio E,93.58,1029,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490605/exercicios/gif/variacao-1029.gif
1040,Panturrilha,Levantamento De Panturrilha,85.71,1548,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491053/exercicios/gif/variacao-1548.gif
1041,Rosca,Rosca Concentrada Com Pegada Fechada,91.3,1549,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491055/exercicios/gif/variacao-1549.gif
1043,Rosca,Máquina De Rosca,86.27,1551,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491057/exercicios/gif/variacao-1551.gif
