id,exercicio,variacao
1090,Outros,Torção Com Barra
1094,Prancha,Prancha De Frente Para A Prancha
1095,Outros,Máquina De Torção
1162,Abdominal,Abdominal Com Elevação
1098,Prancha,Prancha Com Abertura De Pernas - Perna
1099,Outros,Toque Nos Dedos Dos Pés Com Giro
1100,Outros,Meio
1102,Prancha,Prancha Lateral Com Flexão
1106,Outros,Extensão Com Roda
1107,Outros,Levantamento De Quadril Com Pernas Elevadas Em Banco
1109,Outros,Posição
1111,Abdominal,Máquina De Abdominal
1113,Outros,Inclinação Lateral Em Pé
1116,Outros,Máquina De Abdominais
1117,Abdominal,Máquina Abdominal
1121,Outros,Inclinação Lateral Com Peso Em Bola
1122,Abdominal,Exercício De Vácuo Abdominal Em Quatro
1124,Abdominal,Abdominal Infra No Solo Com Flexão
1127,Outros,Encolhimento
1128,Outros,Flexão De Joelho Com Bola
1129,Puxada,Elevação De Joelhos Com Puxada
1134,Abdominal,Abdominal
1136,Outros,Elevação Em V
1137,Outros,Giro Com Barra Na Máquina
1138,Outros,Escalador Cruzado
1142,Outros,Arremesso Com Torção Russa Da Bola
1145,Outros,Exercício
1148,Abdominal,Abdominal Lateral No Banco
1150,Prancha,Chutes No Prancha
1151,Outros,Elevação Alternada
1152,Outros,Chutes Alternados
1153,Abdominal,Abdominal Com Rolo
1155,Outros,Abdução De Quadril No Apoio
1156,Abdominal,Abdominal Com Giro
1158,Outros,Elevação De Perna
1167,Outros,Inclinação
1168,Outros,Levantamento De Braço Apoiado
1172,Outros,Postura Da Virilha
1174,Outros,Postura Da Cobra - Alongamento
1175,Outros,Exercício De Bailarina
1178,Outros,Torção Oblíqua
1186,Outros,Rotação Espinhal
1188,Outros,Alongamento Do Peito E Parte Frontal Dos
1189,Outros,Toque Nos Dedos Dos Pés
1190,Outros,Rotação Para Trás
1193,Outros,Exercício De Retração Escapular
1196,Outros,Rotação Externa Do Ombro Deitado
1199,Outros,Rotação Do Corpo Superior
1201,Outros,Rotação Da Coluna Torácica
1202,Outros,Dorsiflexão
1203,Elevação Lateral,Elevação Lateral De Deltóide Posterior
1204,Outros,Rotação Externa Com Cabo Em Posição
1206,Outros,Quadrúpede Com Elevação De Braço E Perna
1208,Outros,Rolo De Espuma Para Ombro E Peito
1209,Outros,Contração
